termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"um curso chamado geniun shop","um curso chamado Geniun Shop","angulo","PerfectPay","Educação e consultoria","fria","1","","2026-09-04","4","Adquiri um curso chamado Geniun Shop ; em 2 de abril de 2026 ; fiZ apenas as primeiras aulas; e agora quando resolvi voltar p... Perda de acesso ao curso Geniun Shop após pagamento; sem retorno do suporte.","https://www.reclameaqui.com.br/empresa/perfectpay/perda-de-acesso-ao-curso-geniun-shop-apos-pagamento-sem-retorno-do-suporte_a6tTJhax8GBOg4xh/"
"onde dizia que tinha v","onde dizia que tinha v","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Comprei um produto onde dizia que tinha vários fornecedores de roupas no Brasil..mas não tinha o que eu eu queria .por isso q... Reclamação sobre produto com fornecedores de roupas limitados e solicitação de reembolso.","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-produto-com-fornecedores-de-roupas-limitados-e-solicitacao-de-reembolso_H7FXu4ussEtUSJQC/"
"com defeito e solicita","com defeito e solicita","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra no Blackxitoficial (meu Gmail é *****). Meu CPF: *****; no valor de 31 reais. O Painel chegou; mas não funcion... Produto com defeito e solicitação de reembolso","https://www.reclameaqui.com.br/empresa/perfectpay/produto-com-defeito-e-solicitacao-de-reembolso_GgMl5lRE9VZtuHoJ/"
"na plataforma e n","na plataforma e n","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","comprei um produto na plataforma e não gostei; quero meu reembolso; foi comprado no pix:Código da compra: ***** Cliente deseja reembolso de aquecedor comprado via Pix por não ter gostado do produto.","https://www.reclameaqui.com.br/empresa/perfectpay/cliente-deseja-reembolso-de-aquecedor-comprado-via-pix-por-nao-ter-gostado-do-produto_2qo_Zk1Eh3qTNpQy/"
"nessa plataforma","nessa plataforma","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Verifiquei a compra de um produto nessa plataforma; solicitei o reembolso junto a produtora do produto e não consegui retorno... Reembolso não resolvido pela plataforma após contato com produtora e cancelamento de cartão.","https://www.reclameaqui.com.br/empresa/perfectpay/reembolso-nao-resolvido-pela-plataforma-apos-contato-com-produtora-e-cancelamento-de-cartao_P1PpJ-yUSNmPIVUp/"
"em um site na internet e ao abrir o email","em um site na internet e ao abrir o email","angulo","PerfectPay","Serviços financeiros / Pix","fria","1","","2026-09-04","4","Realizei uma compra de um produto em um site na internet e ao abrir o email enviado me cobraram outra taxa que não estava com... Cobrança de taxa adicional não combinada e falta de acesso ao produto comprado.","https://www.reclameaqui.com.br/empresa/perfectpay/cobranca-de-taxa-adicional-nao-combinada-e-falta-de-acesso-ao-produto-comprado__chfFQTX8pupMWB5/"
"tomei","Tomei","angulo","PerfectPay","Outros","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/tomei-editado-pelo-reclame-aqui_PCEkQCMzbA-5dwgy/"
"no qual n","no qual n","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra de um produto no qual não corresponde a minha expectativa ; então solicito o estorno do meu valor. Email: ****... Solicitação de estorno por produto não correspondente à expectativa","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-estorno-por-produto-nao-correspondente-a-expectativa_jZ-08RI4TwV-ynQ4/"
"um grupo vip no dia 20","um grupo vip no dia 20","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Olá; fiz uma compra de um grupo vip no dia 20/08 e dia 23/08 tentei fazer o cancelamento; mas o vendedor ***** - operações nã... Tentativa de cancelamento de grupo VIP e impossibilidade de contato com o vendedor","https://www.reclameaqui.com.br/empresa/perfectpay/tentativa-de-cancelamento-de-grupo-vip-e-impossibilidade-de-contato-com-o-vendedor_SkOpE6e5RhZv8KIr/"
"turminha alfakids","Turminha Alfakids","marca","Cakto","Educação infantil / Materiais didáticos","fria","1","","2026-09-04","4","Fiz uma compra da turminha Alfakids de 2750 atividades e não recebi;o email que aparece como suporte não responde Compra não recebida e falta de resposta do suporte","https://www.reclameaqui.com.br/empresa/cakto-pay/compra-nao-recebida-e-falta-de-resposta-do-suporte_yWkDvnrLPMHo7aTz/"
"um curso","um curso","angulo","Cakto","Educação e consultoria","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso-de-curso-nao-realizado-apos-solicitacao-dentro-do-prazo_ktvLpzB4DAj5K-_J/"
"directspeed","Directspeed","marca","Cakto","Ferramentas de produtividade / Assinatura","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-de-assinatura-da-ferramenta-directspeed-nao-respondida_G-frs9kFEKvabVpn/"
"cortes do marques","Cortes do Marques","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Estou há quase 1 mês tentando cancelar a assinatura do produto Cortes do Marques; adquirido por meio da Cackto; mas até o mom... Cackto não realiza cancelamento de assinatura mesmo após várias solicitações","https://www.reclameaqui.com.br/empresa/cakto-pay/cackto-nao-realiza-cancelamento-de-assinatura-mesmo-apos-varias-solicitacoes_WEDpJ2MDQNCpB9xD/"
"umgrama de karaoke e est","um programa de karaoke e est","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz a compra de um programa de karaoke e está dando conteúdo não encontrado paguei via pix. Conteúdo não encontrado","https://www.reclameaqui.com.br/empresa/cakto-pay/conteudo-nao-encontrado_eh2tS2q3T2WGSky_/"
"uma m","uma m","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra de uma máscara coreana ; fiz o pagamento no PIX e a empresa relatou que eu nao havia pago; eu ;logo a seguir ... Pagamento via PIX não reconhecido e falta de retorno da empresa após envio de comprovante.","https://www.reclameaqui.com.br/empresa/cakto-pay/pagamento-via-pix-nao-reconhecido-e-falta-de-retorno-da-empresa-apos-envio-de-comprovante_C6tRKpYDqejq7Cvf/"
"curso online capsulas gourmet e c","curso online capsulas gourmet e c","angulo","Cakto","Educação e consultoria","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/materiais-de-curso-online-de-capsulas-gourmet-e-capuccinos-nao-disponiveis_jlp3yz2MCVJGF1UT/"
"um curso no dia 01","um curso no dia 01","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/produto-nao-entregue_RxHp4cyuljYU2Wtj/"
"diferente do anunciado e a plataforma n","diferente do anunciado e a plataforma n","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/vendedor-entregou-produto-diferente-do-anunciado-e-a-plataforma-nao-resolve_vkGIXT8UU80pbQbc/"
"chegou faltando conte","chegou faltando conte","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra por lá; produto chegou faltando conteúdo; entro em contato com eles e ZERO atendimento; preciso fazer o estorn... Produto com conteúdo faltante e falta de atendimento para estorno","https://www.reclameaqui.com.br/empresa/cakto-pay/produto-com-conteudo-faltante-e-falta-de-atendimento-para-estorno_S6A780k9_99Ofap-/"
"um curso na plataforma deles","um curso na plataforma deles","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-estorno-de-curso-online-com-ma-qualidade-e-falta-de-resposta_rDQ1eDeZL9eCjgqm/"
"auto live shop","Auto Live Shop","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Realizei a compra do produto Auto Live Shop; porém; após utilizar o produto; constatei que ele não atendeu às minhas expectat... Solicitação de reembolso para produto Auto Live Shop não processada pela plataforma Cakto","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-reembolso-para-produto-auto-live-shop-nao-processada-pela-plataforma-cakto_Zejb3D4JhCq2o48c/"
"pelo pouco que testei","pelo pouco que testei","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","R$ 197;99.","2026-09-04","4","Comprei o Plano Starter mensal da Cloakby por R$ 197;99. O produto pelo pouco que testei é excelente. Porém; não atendeu as m... Reclamação Sobre Oferta da Cloakby: propaganda enganosa e péssimo atendimento ao solicitar reembolso","https://www.reclameaqui.com.br/empresa/cakto-pay/reclamacao-sobre-oferta-da-cloakby-propaganda-enganosa-e-pessimo-atendimento-ao-solicitar-reembolso_DS552Q4NU1VCy-bp/"
"uma assinatura do site copie","uma assinatura do site copie.ai","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 97;00;","2026-09-04","4","Realizei a compra de uma assinatura do site copie.ai; no dia 30 de agosto de 2026; às 17h38min; no valor de R$97;00; no site ... Assinatura Copie.ai não liberada após compra e sem retorno do suporte.","https://www.reclameaqui.com.br/empresa/cakto-pay/assinatura-nao-liberada-apos-compra-e-sem-retorno-do-suporte__RpqyPU88WZJtxd1/"
"pois n","pois n","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra mas não gostei do produto pois não atingiu minhas espectativas solicito o reembolso pois está no prazo de gara... Solicitação de reembolso por produto que não atendeu às expectativas dentro do prazo de garantia.","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-reembolso-por-produto-que-nao-atendeu-as-expectativas-dentro-do-prazo-de-garantia_4ccUExOzKRUFA4MT/"
"dois cursos de idiomas","dois cursos de idiomas","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra de dois cursos de idiomas; no caso Espanhol. Paguei pelos dois cursos via pi; porém só tive acesso a um curso;... Acesso negado a curso de espanhol pago e dificuldade de contato com o suporte para reembolso.","https://www.reclameaqui.com.br/empresa/cakto-pay/acesso-negado-a-curso-de-espanhol-pago-e-dificuldade-de-contato-com-o-suporte-para-reembolso_9d9eJH4OMC_ApZLR/"
"um site hoje e quero solicitar o cancelam","um site hoje e quero solicitar o cancelam","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","fiz uma compra de um site hoje e quero solicitar o cancelamento e direito a arrependimento dentro de 7 dias; fiz um pedido ma... Solicitação de cancelamento e estorno de 3 pedidos devido a arrependimento e insatisfação com o produto/site.","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-e-estorno-de-3-pedidos-devido-a-arrependimento-e-insatisfacao-com-o-produtosite_KUDEd8s3eGajQ3-L/"
"uma mentoria no dia 26 onde o reembolso e","uma mentoria no dia 26 onde o reembolso e","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz a compra de uma mentoria no dia 26 onde o reembolso era de responsabilidade do produtor; produtor esse que me ignorou por... Reclamação sobre reembolso de mentoria não processado e falta de suporte","https://www.reclameaqui.com.br/empresa/cakto-pay/reclamacao-sobre-reembolso-de-mentoria-nao-processado-e-falta-de-suporte_nV8WPHM4qJbjnUSu/"
"estrutura para gera","estrutura para gera","angulo","Cakto","Outros","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/contestacao-de-compra-de-estrutura-para-geracao-de-retorno-financeiro-nao-concretizado-e-falta-de-informacao-sobre-investimentos-adicionais_CUW1-e-tTFELAg9M/"
"youclone no dia 28","Youclone no dia 28","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Comprei o produto Youclone no dia 28/08; no pix.Quando fui entrar no curso; não abre a área de membros e não consig... Cliente não consegue acessar área de membros do curso Youclone e relata falta de suporte.","https://www.reclameaqui.com.br/empresa/cakto-pay/cliente-nao-consegue-acessar-area-de-membros-do-curso-youclone-e-relata-falta-de-suporte_2aC8MLyewmAd3CCU/"
"oduto","o produto","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Adquiri o produto &quot;Combo Black&quot; do Gustavo de Castro e recebi um e-mail de aprovação de compra sem acesso ao produt... Cliente não tem acesso ao produto &#x27;Combo Black&#x27; após aprovação de compra e não obtém resposta do suporte.","https://www.reclameaqui.com.br/empresa/cakto-pay/cliente-nao-tem-acesso-ao-produto-combo-black-apos-aprovacao-de-compra-e-nao-obtem-resposta-do-suporte_na5373f4sUAHpMsE/"
"um curso de ia nao gostei do curso e dent","um curso de IA nao gostei do curso e dent","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","fiz uma compra de um curso de IA nao gostei do curso e dentro do prazo de 7 dias solicitei o reembolso pelo email que disponi... Estorno","https://www.reclameaqui.com.br/empresa/cakto-pay/estorno_hMRVrko0Dz8fVqsF/"
"cuja cobran","cuja cobran","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-de-assinatura-mensal-nao-efetivada-pela-plataforma-cakto_rOS_H0sA8Ne2Yb4r/"
"apostila de psicologia 2025","Apostila de Psicologia 2025","angulo","Cakto","Educação / Concursos e certificações","fria","1","","2026-09-04","4","Fiz uma compra on-line de uma Apostila de Psicologia 2025 e um combo de Aprovação Psico.Já entrei em contato por e-mail;... Apostila de Psicologia 2025 não abre e cliente não obtém retorno sobre compra online.","https://www.reclameaqui.com.br/empresa/cakto-pay/apostila-de-psicologia-2025-nao-abre-e-cliente-nao-obtem-retorno-sobre-compra-online_30j5btxdpP7LLsjJ/"
"fábrica de low ticket","Fábrica de Low Ticket","angulo","Cakto","Educação / Marketing digital e low ticket","fria","1","","2026-09-04","4","Olá;Solicito o reembolso da compra da Fábrica de Low Ticket.Adquiri o curso com base na promessa apresent... Reembolso solicitado por propaganda enganosa sobre suporte individual no curso Fábrica de Low Ticket","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso-solicitado-por-propaganda-enganosa-sobre-suporte-individual-no-curso-fabrica-de-low-ticket_BQx79JwlEi7-NBzU/"
"incompleto dentro da garantia","incompleto dentro da garantia","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Gostaria do reembolso dos seguintes produtos que comprei; está dentro do prazo de garantia de 7 dias.Email de Compra: **... Solicitação de reembolso por produto incompleto dentro da garantia","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-reembolso-por-produto-incompleto-dentro-da-garantia_DBUjl2QuaruN_QYD/"
"mas n","mas n","angulo","Cakto","Espionagem e rastreamento","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/nao-me-respondem_ddIIs2OseJhlXI2v/"
"de streaming n","de streaming n","angulo","Cakto","Streaming e entretenimento","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-desacordo-comercial-por-servico-de-streaming-nao-recebido-e-falta-de-contato-do-vendedor_xHL_Rnpj7hKZ3vjT/"
"que eu comprei na plataforma cakto ..o pr","que eu comprei na plataforma Cakto ..o pr","angulo","Cakto","Outros","fria","1","","2026-09-04","4","Estou tentando cancelar um produto que eu comprei na plataforma Cakto ..o produto que eu comprei foi calcula chef app não es... Não consigo cancelar o produto Calcula Chef App e não recebo retorno da Cakto.","https://www.reclameaqui.com.br/empresa/cakto-pay/nao-consigo-cancelar-o-produto-calcula-chef-app-e-nao-recebo-retorno-da-cakto_mwF3xbe9PnLeIpH4/"
"um curso na sexta feira e n","um curso na sexta feira e n","angulo","Cakto","Educação e consultoria","fria","1","","2026-09-04","4","fiz uma compra de um curso na sexta feira e não recebi; também pelo chat de suporte não tenho retorno. Quero o reembolso; poi... Curso não recebido e falta de retorno do suporte; solicitação de reembolso por possível [Editado pelo Reclame Aqui].","https://www.reclameaqui.com.br/empresa/cakto-pay/curso-nao-recebido-e-falta-de-retorno-do-suporte-solicitacao-de-reembolso-por-possivel-editado-pelo-reclame-aqui_KD9yrBbG0QhwORjs/"
"uma planilha e n","uma planilha e n","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/nao-consigo-suporte_245GAIgR4SjdP8m1/"
"um aplicativo","um aplicativo","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra de um aplicativo; porém o mesmo não funciona; entrei em contato com a cakto por email; entrei em contato pelo ... Reclamação sobre aplicativo não funcional e falta de resposta do suporte para reembolso.","https://www.reclameaqui.com.br/empresa/cakto-pay/reclamacao-sobre-aplicativo-nao-funcional-e-falta-de-resposta-do-suporte-para-reembolso_vE-W5K4jwJY0jtXa/"
"material de fonoaudiologia e n","material de fonoaudiologia e n","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra de material de fonoaudiologia e não no momento de baixar o material era mal feito; a fonoaudióloga sequer exis... Material de fonoaudiologia de má qualidade e recusa de reembolso pela Cacto.","https://www.reclameaqui.com.br/empresa/cakto-pay/material-de-fonoaudiologia-de-ma-qualidade-e-recusa-de-reembolso-pela-cacto_zjP5uaGFy2s7z7ZP/"
"pela cakto e logo realizei o pedido de re","pela cakto e logo realizei o pedido de re","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz a compra de um produto pela cakto e logo realizei o pedido de reembolso; porem sem sucesso; pois a plataforma dar erro: &... Erro ao tentar solicitar reembolso de produto na Cakto","https://www.reclameaqui.com.br/empresa/cakto-pay/erro-ao-tentar-solicitar-reembolso-de-produto-na-cakto_ZhxbaEfvn9crLs7c/"
"programa n","programa n","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra online e o programa não funcionou durante dois dias comecei a enviar para o produtor e para empresa Catho o pe... Reembolso não efetuado e falta de resposta da Catho e do produtor após compra de programa não funcional.","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso-nao-efetuado-e-falta-de-resposta-da-catho-e-do-produtor-apos-compra-de-programa-nao-funcional_2BTWhdCr7obnyw-X/"
"uma mentoria","uma mentoria","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/compra-de-mentoria-nao-encontrada-e-falta-de-suporte-da-cakto-e-do-vendedor_Bt44ofl5iW09TC9d/"
"com defeito","com defeito","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","fiz a comprar de um produto ; o produto não rodou no meu pc pedi o reembolso e mandaram falar com o produtor ; mandei mensage... Reembolso negado e contato com o produtor indisponível após compra de produto com defeito","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso-negado-e-contato-com-o-produtor-indisponivel-apos-compra-de-produto-com-defeito_JT9yPhOIhMRefinl/"
"frequência da vinci","Frequência da Vinci","marca","Cakto","Saúde / Tratamentos alternativos","fria","1","","2026-09-04","4","Fiz uma compra por impulso;de um programa de cura do zumbido no ouvido e gostaria de cancelar e ter o extorno do valor pago p... Solicitação de cancelamento e estorno de programa de cura de zumbido","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-e-estorno-de-programa-de-cura-de-zumbido_T3cY3B6mIP4BEv_Y/"
"da vav","da Vav","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","**Produto não entregue e criador não responde solicito reembolso**Realizei a compra de um produto da Vavá Aca... Produto não entregue e criador não responde; solicito reembolso","https://www.reclameaqui.com.br/empresa/cakto-pay/produto-nao-entregue-e-criador-nao-responde-solicito-reembolso_605Q8ntQ-aQlegi3/"
"digitalcessada pela cakto","digital processada pela Cakto","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/cakto-pay/editado-pelo-reclame-aqui-em-compra-de-produto-digital-processada-pela-cakto-com-editado-pelo-reclame-aqui-e-nao-entrega_HJtQooCkVBEfTtMB/"
"converza.io","Converza.io","marca","Cakto","Chatbots / Automação de mensagens","fria","1","","2026-09-04","5","","https://www.reclameaqui.com.br/empresa/cakto-pay/exijo-reembolso-servico-nao-funciona-e-suporte-nao-responde_OPi-rimJXtkjo2yB/"
"comprad... pagamento via pix n","comprad... Pagamento via PIX n","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz o pgto via PIX para a empresa seguro-vidasaudavel.site através da Cakto Pay; porém não me foi fornecido o produto comprad... Pagamento via PIX não resultou na entrega do produto; solicitação de reembolso por possível [Editado pelo Reclame Aqui].","https://www.reclameaqui.com.br/empresa/cakto-pay/pagamento-via-pix-nao-resultou-na-entrega-do-produto-solicitacao-de-reembolso-por-possivel-editado-pelo-reclame-aqui_cbUdm8Fq5-5oanwH/"
"curso online","curso online","angulo","Cakto","Crescimento em redes sociais","fria","1","","2026-09-04","4","Fiz uma compra de curso online; pgn no Instagran que se chama Amigurumi Brasil; pgn com mais de 1.5 k de seguidores; e até ho... Curso online não entregue após pagamento; com falha na comunicação e solicitação de estorno.","https://www.reclameaqui.com.br/empresa/cakto-pay/curso-online-nao-entregue-apos-pagamento-com-falha-na-comunicacao-e-solicitacao-de-estorno_-bekag5hY78F-1mM/"
"mas at","mas at","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra na loja e quero reembolsar meu produto mas até agora não fui atendido Reembolso","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso_Ou6F1k9zy_0W3ATN/"
